Trial Number,State,Device timestamp,Left pupil diameter,Left pupil validity,Right pupil diameter,Right pupil validity,Rating
Trial1,baseline,19856786321,3.408172607421875,1,3.308624267578125,1,Yes
Trial1,baseline,19857319271,3.494598388671875,1,3.408782958984375,1,Yes
Trial1,baseline,19857835567,3.440673828125,1,3.2993011474609375,1,Yes
Trial1,baseline,19858351862,3.588104248046875,1,3.5117034912109375,1,Yes
Trial1,stimuli,19859001395,3.4803314208984375,1,3.4347381591796875,1,Yes
Trial1,stimuli,19859534345,3.4112548828125,1,3.400848388671875,1,Yes
Trial1,stimuli,19860050640,3.7976226806640625,1,3.798248291015625,1,Yes
Trial1,stimuli,19860550281,4.0203399658203125,1,3.9967803955078125,1,Yes
Trial1,stimuli,19861066576,4.0136260986328125,1,3.9611663818359375,1,Yes
Trial1,stimuli,19861582871,4.0921173095703125,1,4.12774658203125,1,Yes
Trial1,stimuli,19862099167,3.979522705078125,1,3.9654693603515625,1,Yes
Trial1,stimuli,19862615462,4.18212890625,1,4.2382659912109375,1,Yes
Trial1,stimuli,19863131757,4.248260498046875,1,4.3402099609375,1,Yes
